kind	path_or_identity	bytes	sha256_or_identity	reason_and_regeneration
fastq	10x pbmc_1k_v3 R1+R2	5038856791	see input-digests.sha256	public D0 input; download identity and paths in PROVENANCE.md
fastq_bundle	data/d1/5k_pbmc_v3_fastqs.tar	29256734720	10x 5k_pbmc_v3	public D1 input
fastq_bundle	data/d2/d2_fastqs.tar	19185735680	10x Parent_SC3v3_Human_Glioblastoma	public D2 input
fastq_bundle	data/d2p/d2p_fastqs.tar	22562355200	10x Brain_3p	public D2-prime input
fastq_bundle	data/d3/d3.tar	51657605120	10x pbmc_10k_v3	public D3 atlas input
fastq_bundle	data/d4/d4.tar	6896957440	10x 500_PBMC_3p_LT_Chromium_X	public D4 atlas input
bam	runs/ingest/full/Aligned.sortedByCoord.out.bam	4208722967	0757ea351b0e999bec024e10169f91a7edb14526e31c73b619e8cb41752ef974	regenerate with scripts/40_ingest_align.sh
bam	runs/post-v1/fair-baselines/d0/ingest.replay-minimal.bam	1843272819	b376342589cb793b052ee2a5f41f397ae2deaaf0130544d6fbd4ec5657bc8fd6	regenerate with scripts/110_make_replay_minimal_bam.sh or scripts/111_d0_fair_baseline_pilot.sh
cram	runs/post-v1/fair-baselines/d0/ingest.replay-minimal.cram	758514044	c38f0c63d51478020159e4321eeb1424034a92f7715e7089b1820ae37767ad01	regenerate with scripts/111_d0_fair_baseline_pilot.sh; CRAM 3.1 archive mode
aie	runs/post-v1/fair-baselines/d0/d0.replay-minimal.stamped.aie	111087381	d7c11d4258f7b78b5c3a20ebc5349e3a1f1f52a0279425701d14acbf79948842	regenerate with scripts/111_d0_fair_baseline_pilot.sh; byte-identical to frozen runs/archive/d0.aie
bam	runs/post-v1/fair-baselines/d1-post-correction-v1/post-correction.molecules.bam	3582119668	145b6732bc4f399f3c79532e4b0ea24f6e4ea7d0af1aab059ff65f31c8775c97	regenerate with scripts/118_post_correction_storage.sh
cram	runs/post-v1/fair-baselines/d1-post-correction-v1/post-correction.molecules.cram	1293782063	d9e67f148b59176f6b7bd63fea982ac129278706f6aa60d583469269a3fef7e9	regenerate with scripts/118_post_correction_storage.sh; CRAM 3.1 archive mode
bam	runs/post-v1/fair-baselines/d2p-post-correction-v1/post-correction.molecules.bam	3791941865	b4e267577a9a3bdeaffe5bac984f3b1c1216213e11db34a914614c751e835189	regenerate with scripts/118_post_correction_storage.sh
cram	runs/post-v1/fair-baselines/d2p-post-correction-v1/post-correction.molecules.cram	1519093985	9df205225272a44c26804966ca47dc6469edfec7ce6e1e2d8ce4dd9ff7952b8b	regenerate with scripts/118_post_correction_storage.sh; CRAM 3.1 archive mode
matrix_trees	runs/post-v1/fair-baselines/{d0,d1,d2p}-{streamed-cram,native-aie}-replay-v1		exact identities and timings in results/post-v1-matched-cram-generalization.json	regenerate with scripts/117_stream_molecule_cram_replay.sh and scripts/119_native_aie_replay.sh
matrix_trees	runs/post-v1/fair-baselines/{d1,d2p}-randomized-counts-v1		exact identities and timings in results/post-v1-scale-randomized-counts.json	regenerate with scripts/120_scale_randomized_counts_comparison.sh
matrix_tree	runs/post-v1/fair-baselines/d0/starsolo-counts-only-same-features	1098316373	see results/post-v1-d0-counts-only-pilot.json	one four-feature no-BAM diagnostic; regenerate with scripts/112_d0_starsolo_counts_only.sh
matrix_trees	runs/post-v1/fair-baselines/d0/starsolo-counts-only-gene-only{,-r2,-r3,-r4,-r5}	1085113390	see results/post-v1-d0-counts-only-pilot.json	five warm Gene-only no-BAM outputs; regenerate with scripts/113_d0_warm_counts_comparison.sh
matrix_trees	runs/post-v1/fair-baselines/d0/aie-replay-r{1,2,3,4,5}	878607312	see results/post-v1-d0-counts-only-pilot.json	five warm replay outputs; regenerate with scripts/113_d0_warm_counts_comparison.sh
bam	runs/ingest/d1/Aligned.sortedByCoord.out.bam	20090002111		regenerate with scripts/90_d1_reverify.sh
bam	runs/ingest/d2/Aligned.sortedByCoord.out.bam	12672115830		regenerate with scripts/96_d2_campaign.sh
bam	runs/ingest/d2p/Aligned.sortedByCoord.out.bam	16425883029	d4021960316844222f6e1880db6f1b0bf732f9236734e6da1757150b932167fd	regenerate with scripts/97_d2p_campaign.sh
bam	runs/ingest/d3/Aligned.sortedByCoord.out.bam	39268046464		regenerate with scripts/103_atlas_build.sh
bam	runs/ingest/d4/Aligned.sortedByCoord.out.bam	5744091835		regenerate with scripts/103_atlas_build.sh
reference	data/GRCh38.primary_assembly.genome.fa.gz	845635028	3023c0705e83e86309271b09e25bdf678945fac98ce2fe5bb6e068f2225452	public GENCODE/EBI input
